CODE,BOROUGH,YEAR,AGE,% Healthy,% Unhealthy,Green cover,Blue cover,Open Space,Local Parks,District Parks,Metropolitan Parks,Regional Parks,Percentage with private outdoor space,Tree Cover,Income Deprivation,Employment Deprivation,Crime Deprivation
E09000014,Haringey,2023,Year 6,60.22,39.78,43.55,0.79,69.2,40.7,36.6,72.1,66.6,84.1,1.97,1.84,1.92,0.70
E09000015,Harrow,2023,Year 6,59.93,40.07,55.42,0.47,73.0,22.9,34.0,7.7,0.0,85.2,3.54,4.37,4.65,5.61
E09000016,Havering,2023,Year 6,60.09,40.06,65.98,3.51,65.7,19.5,23.2,44.6,0.0,89.7,4.62,4.32,4.14,3.99
E09000017,Hillingdon,2023,Year 6,59.86,40.00,54.60,3.26,27.0,29.3,47.7,43.0,0.0,87.7,3.14,3.25,3.24,2.93
E09000018,Hounslow,2023,Year 6,58.18,41.82,47.31,3.15,28.7,42.0,42.3,86.3,18.4,81.4,2.22,3.11,3.28,2.65
E09000019,Islington,2023,Year 6,61.61,38.06,34.88,0.27,93.7,58.2,9.6,52.0,44.9,70.7,2.12,2.28,2.05,1.34
E09000020,Kensington and Chelsea,2023,Year 6,63.71,36.29,30.37,2.31,52.5,84.1,34.2,99.8,6.6,81.7,1.55,5.92,5.37,2.43
E09000021,Kingston upon Thames,2023,Year 6,71.14,29.15,52.42,1.05,38.6,26.3,11.9,37.5,72.8,86.5,1.97,8.06,7.72,5.61
E09000022,Lambeth,2023,Year 6,57.71,42.29,32.91,1.62,82.3,46.5,28.3,66.8,0.0,75.1,1.84,1.50,1.28,1.65
E09000023,Lewisham,2023,Year 6,59.90,40.10,40.25,0.80,50.3,42.6,22.3,54.9,0.0,81.8,2.36,1.60,1.58,3.04
E09000024,Merton,2023,Year 6,64.90,35.10,48.78,0.85,58.2,39.0,31.4,37.5,67.3,88,2.75,5.53,5.29,5.05
E09000025,Newham,2023,Year 6,54.71,45.17,30.64,9.46,35.2,39.4,45.0,38.9,47.0,82.1,3.18,0.73,1.49,2.15
E09000026,Redbridge,2023,Year 6,58.10,41.90,53.56,1.41,11.1,28.0,54.5,63.1,51.2,87.8,4.10,2.82,3.41,3.35
E09000027,Richmond upon Thames,2023,Year 6,72.41,27.85,61.99,5.24,59.2,29.2,39.3,64.0,69.7,87.9,3.14,8.69,7.55,5.50
E09000028,Southwark,2023,Year 6,56.55,43.45,37.67,4.23,61.3,24.0,65.1,2.6,0.0,66.3,3.03,1.41,1.41,1.45
E09000029,Sutton,2023,Year 6,65.89,34.11,49.69,1.25,33.9,36.0,17.6,65.1,0.0,87.7,4.32,5.73,5.33,5.61
E09000030,Tower Hamlets,2023,Year 6,55.57,44.43,25.38,11.75,84.5,60.3,46.3,41.8,59.8,60.3,0.84,0.78,1.45,0.98
E09000031,Waltham Forest,2023,Year 6,60.24,39.58,44.36,6.24,31.3,53.0,0.0,26.5,100.0,86,4.32,2.23,2.60,3.82
E09000032,Wandsworth,2023,Year 6,64.61,35.16,39.01,3.20,62.9,8.9,26.9,90.2,62.0,72.9,2.85,3.16,3.07,4.24
E09000033,Westminster,2023,Year 6,59.18,40.82,31.20,4.41,40.9,58.6,21.1,94.0,0.0,63,1.65,3.54,3.03,2.85
