CODE,BOROUGH,YEAR,AGE,% Healthy,% Unhealthy,Green cover,Blue cover,Open Space,Local Parks,District Parks,Metropolitan Parks,Regional Parks,Percentage with private outdoor space,Tree Cover,Income Deprivation,Employment Deprivation,Crime Deprivation
E09000026,Redbridge,2013,Reception,77.84,22.16,53.56,1.41,11.1,28.0,54.5,63.1,51.2,87.8,4.10,2.61,3.01,2.66
E09000027,Richmond upon Thames,2013,Reception,81.48,18.52,61.99,5.24,59.2,29.2,39.3,64.0,69.7,87.9,3.14,9.28,8.27,10.08
E09000028,Southwark,2013,Reception,70.89,29.11,37.67,4.23,61.3,24.0,65.1,2.6,0.0,66.3,3.03,1.35,1.17,0.37
E09000029,Sutton,2013,Reception,79.31,20.69,49.69,1.25,33.9,36.0,17.6,65.1,0.0,87.7,4.32,6.04,5.39,8.26
E09000030,Tower Hamlets,2013,Reception,74.12,25.88,25.38,11.75,84.5,60.3,46.3,41.8,59.8,60.3,0.84,0.78,1.26,0.23
E09000031,Waltham Forest,2013,Reception,75.77,24.23,44.36,6.24,31.3,53.0,0.0,26.5,100.0,86,4.32,1.98,2.07,0.61
E09000032,Wandsworth,2013,Reception,78.72,21.28,39.01,3.20,62.9,8.9,26.9,90.2,62.0,72.9,2.85,3.02,3.15,3.22
E09000033,Westminster,2013,Reception,75.90,24.10,31.20,4.41,40.9,58.6,21.1,94.0,0.0,63,1.65,3.28,3.19,2.85
E09000002,Barking and Dagenham,2014,Reception,70.98,29.02,39.20,6.10,56.2,30.0,46.4,62.6,0.0,84.5,0.88,2.34,2.92,0.28
E09000003,Barnet,2014,Reception,78.88,21.12,57.99,0.69,33.4,34.3,42.3,23.4,0.0,80,7.08,2.19,2.52,4.58
E09000004,Bexley,2014,Reception,74.25,25.75,42.92,6.81,49.7,35.6,15.9,81.7,0.0,88.5,2.16,4.69,4.31,8.03
E09000005,Brent,2014,Reception,75.93,24.07,39.94,1.03,29.5,40.4,28.9,46.7,0.0,81.8,3.54,1.20,1.75,1.91
E09000006,Bromley,2014,Reception,79.02,20.98,68.36,0.38,41.6,31.0,39.0,68.9,0.0,85.4,7.47,3.70,3.33,3.50
E09000007,Camden,2014,Reception,78.14,21.86,43.28,0.91,56.8,50.5,15.5,88.4,0.0,61,1.97,3.07,2.88,2.15
E09000008,Croydon,2014,Reception,76.71,23.29,55.53,0.13,17.9,37.3,36.1,44.6,0.0,83.3,6.49,0.99,1.35,1.07
E09000009,Ealing,2014,Reception,76.69,23.31,43.96,0.94,45.5,53.6,40.5,72.1,0.0,82.8,5.21,1.46,1.84,2.24
E09000010,Enfield,2014,Reception,75.26,24.74,52.95,5.16,53.1,17.9,66.1,25.7,69.5,84.1,3.93,0.73,1.53,1.40
E09000011,Greenwich,2014,Reception,72.63,27.37,43.22,6.78,82.6,31.3,48.0,60.5,0.0,80.1,2.36,2.08,2.29,2.38
E09000012,Hackney1,2014,Reception,72.60,27.40,38.79,2.23,89.9,23.8,64.5,63.9,97.0,68.6,1.38,1.25,1.44,0.19
E09000013,Hammersmith and Fulham,2014,Reception,76.08,23.92,27.60,4.63,28.9,46.8,40.4,51.1,49.0,81,1.71,4.53,4.04,5.88
E09000014,Haringey,2014,Reception,76.38,23.62,43.55,0.79,69.2,40.7,36.6,72.1,66.6,84.1,1.97,1.67,1.80,0.75
E09000015,Harrow,2014,Reception,77.21,22.79,55.42,0.47,73.0,22.9,34.0,7.7,0.0,85.2,3.54,4.48,4.63,9.20
E09000016,Havering,2014,Reception,75.07,24.93,65.98,3.51,65.7,19.5,23.2,44.6,0.0,89.7,4.62,4.38,3.87,4.81
E09000017,Hillingdon,2014,Reception,77.47,22.53,54.60,3.26,27.0,29.3,47.7,43.0,0.0,87.7,3.14,3.23,3.46,2.10
E09000018,Hounslow,2014,Reception,76.84,23.16,47.31,3.15,28.7,42.0,42.3,86.3,18.4,81.4,2.22,3.18,3.37,2.80
E09000019,Islington,2014,Reception,76.97,23.03,34.88,0.27,93.7,58.2,9.6,52.0,44.9,70.7,2.12,2.45,2.20,0.14
E09000020,Kensington and Chelsea,2014,Reception,75.49,24.51,30.37,2.31,52.5,84.1,34.2,99.8,6.6,81.7,1.55,6.25,5.57,3.08
E09000021,Kingston upon Thames,2014,Reception,83.15,16.85,52.42,1.05,38.6,26.3,11.9,37.5,72.8,86.5,1.97,8.81,8.54,8.50
E09000022,Lambeth,2014,Reception,74.89,25.11,32.91,1.62,82.3,46.5,28.3,66.8,0.0,75.1,1.84,1.15,0.99,0.05
E09000023,Lewisham,2014,Reception,75.38,24.62,40.25,0.80,50.3,42.6,22.3,54.9,0.0,81.8,2.36,1.51,1.62,0.93
E09000024,Merton,2014,Reception,79.44,20.56,48.78,0.85,58.2,39.0,31.4,37.5,67.3,88,2.75,5.63,5.30,5.65
E09000025,Newham,2014,Reception,72.42,27.58,30.64,9.46,35.2,39.4,45.0,38.9,47.0,82.1,3.18,0.68,0.94,0.09
E09000026,Redbridge,2014,Reception,76.94,23.06,53.56,1.41,11.1,28.0,54.5,63.1,51.2,87.8,4.10,2.61,3.01,2.66
E09000027,Richmond upon Thames,2014,Reception,82.95,17.05,61.99,5.24,59.2,29.2,39.3,64.0,69.7,87.9,3.14,9.28,8.27,10.08
E09000028,Southwark,2014,Reception,71.97,28.03,37.67,4.23,61.3,24.0,65.1,2.6,0.0,66.3,3.03,1.35,1.17,0.37
E09000029,Sutton,2014,Reception,83.10,16.90,49.69,1.25,33.9,36.0,17.6,65.1,0.0,87.7,4.32,6.04,5.39,8.26
E09000030,Tower Hamlets,2014,Reception,75.53,24.47,25.38,11.75,84.5,60.3,46.3,41.8,59.8,60.3,0.84,0.78,1.26,0.23
E09000031,Waltham Forest,2014,Reception,75.13,24.87,44.36,6.24,31.3,53.0,0.0,26.5,100.0,86,4.32,1.98,2.07,0.61
E09000032,Wandsworth,2014,Reception,78.45,21.55,39.01,3.20,62.9,8.9,26.9,90.2,62.0,72.9,2.85,3.02,3.15,3.22
E09000033,Westminster,2014,Reception,77.42,22.58,31.20,4.41,40.9,58.6,21.1,94.0,0.0,63,1.65,3.28,3.19,2.85
E09000002,Barking and Dagenham,2015,Reception,72.79,27.21,39.20,6.10,56.2,30.0,46.4,62.6,0.0,84.5,0.88,2.34,2.92,0.28
E09000003,Barnet,2015,Reception,79.66,20.34,57.99,0.69,33.4,34.3,42.3,23.4,0.0,80,7.08,2.19,2.52,4.58
E09000004,Bexley,2015,Reception,73.89,26.11,42.92,6.81,49.7,35.6,15.9,81.7,0.0,88.5,2.16,4.69,4.31,8.03
