CODE,BOROUGH,YEAR,AGE,% Healthy,% Unhealthy,Green cover,Blue cover,Open Space,Local Parks,District Parks,Metropolitan Parks,Regional Parks,Percentage with private outdoor space,Tree Cover,Income Deprivation,Employment Deprivation,Crime Deprivation
E09000015,Harrow,2013,Year 6,61.08,38.92,55.42,0.47,73.0,22.9,34.0,7.7,0.0,85.2,3.54,4.48,4.63,9.20
E09000016,Havering,2013,Year 6,63.77,36.23,65.98,3.51,65.7,19.5,23.2,44.6,0.0,89.7,4.62,4.38,3.87,4.81
E09000017,Hillingdon,2013,Year 6,62.74,37.26,54.60,3.26,27.0,29.3,47.7,43.0,0.0,87.7,3.14,3.23,3.46,2.10
E09000018,Hounslow,2013,Year 6,58.79,41.21,47.31,3.15,28.7,42.0,42.3,86.3,18.4,81.4,2.22,3.18,3.37,2.80
E09000019,Islington,2013,Year 6,60.88,39.12,34.88,0.27,93.7,58.2,9.6,52.0,44.9,70.7,2.12,2.45,2.20,0.14
E09000020,Kensington and Chelsea,2013,Year 6,63.18,36.82,30.37,2.31,52.5,84.1,34.2,99.8,6.6,81.7,1.55,6.25,5.57,3.08
E09000021,Kingston upon Thames,2013,Year 6,69.20,30.80,52.42,1.05,38.6,26.3,11.9,37.5,72.8,86.5,1.97,8.81,8.54,8.50
E09000022,Lambeth,2013,Year 6,58.09,41.91,32.91,1.62,82.3,46.5,28.3,66.8,0.0,75.1,1.84,1.15,0.99,0.05
E09000023,Lewisham,2013,Year 6,59.69,40.31,40.25,0.80,50.3,42.6,22.3,54.9,0.0,81.8,2.36,1.51,1.62,0.93
E09000024,Merton,2013,Year 6,62.08,37.92,48.78,0.85,58.2,39.0,31.4,37.5,67.3,88,2.75,5.63,5.30,5.65
E09000025,Newham,2013,Year 6,57.20,42.80,30.64,9.46,35.2,39.4,45.0,38.9,47.0,82.1,3.18,0.68,0.94,0.09
E09000026,Redbridge,2013,Year 6,60.11,39.89,53.56,1.41,11.1,28.0,54.5,63.1,51.2,87.8,4.10,2.61,3.01,2.66
E09000027,Richmond upon Thames,2013,Year 6,74.45,25.55,61.99,5.24,59.2,29.2,39.3,64.0,69.7,87.9,3.14,9.28,8.27,10.08
E09000028,Southwark,2013,Year 6,55.01,44.99,37.67,4.23,61.3,24.0,65.1,2.6,0.0,66.3,3.03,1.35,1.17,0.37
E09000029,Sutton,2013,Year 6,64.58,35.42,49.69,1.25,33.9,36.0,17.6,65.1,0.0,87.7,4.32,6.04,5.39,8.26
E09000030,Tower Hamlets,2013,Year 6,55.87,44.13,25.38,11.75,84.5,60.3,46.3,41.8,59.8,60.3,0.84,0.78,1.26,0.23
E09000031,Waltham Forest,2013,Year 6,59.55,40.45,44.36,6.24,31.3,53.0,0.0,26.5,100.0,86,4.32,1.98,2.07,0.61
E09000032,Wandsworth,2013,Year 6,63.98,36.02,39.01,3.20,62.9,8.9,26.9,90.2,62.0,72.9,2.85,3.02,3.15,3.22
E09000033,Westminster,2013,Year 6,59.05,40.95,31.20,4.41,40.9,58.6,21.1,94.0,0.0,63,1.65,3.28,3.19,2.85
E09000002,Barking and Dagenham,2014,Year 6,58.09,41.9,39.20,6.10,56.2,30.0,46.4,62.6,0.0,84.5,0.88,2.34,2.92,0.28
E09000003,Barnet,2014,Year 6,65.63,34.4,57.99,0.69,33.4,34.3,42.3,23.4,0.0,80,7.08,2.19,2.52,4.58
E09000004,Bexley,2014,Year 6,61.94,38.1,42.92,6.81,49.7,35.6,15.9,81.7,0.0,88.5,2.16,4.69,4.31,8.03
E09000005,Brent,2014,Year 6,60.25,39.7,39.94,1.03,29.5,40.4,28.9,46.7,0.0,81.8,3.54,1.20,1.75,1.91
